fcvtms x0, d1	2000709e	
fcvtps w0, s1	2000281e	
fcvtps x0, d1	2000689e	
fcvtas w0, s1	2000241e	
fcvtas x0, d1	2000649e	
scvtf s0, w1	2000221e	
scvtf d0, x1	2000629e	
ucvtf s0, w1	2000231e	
ucvtf d0, x1	2000639e	
fcvtzs w0, s1, #4	20f0181e	
fcvtzs x0, d1, #16	20c0589e	
fcvtzu w0, s1, #4	20f0191e	
fcvtzu x0, d1, #16	20c0599e	
scvtf s0, w1, #4	20f0021e	
scvtf d0, x1, #16	20c0429e	
ucvtf s0, w1, #4	20f0031e	
ucvtf d0, x1, #16	20c0439e	
fcmp s0, s1	0020211e	
fcmp d0, #0.0	0820601e	
fcsel s0, s1, s2, eq	200c221e	
fmov w0, s1	2000261e	
fmov s0, w1	2000271e	
fmov x0, d1	2000669e	
fmov d0, x1	2000679e	
fmov d0, #1.0	00106e1e	
fmov s0, #1.0	00102e1e	
fmov d0, #2.0	0010601e	
fmov s0, #2.0	0010201e	
fmov d0, #0.5	00106c1e	
fmov s0, #0.5	00102c1e	
fmov d0, #-1.0	00107e1e	
fmov s0, #-1.0	00103e1e	
fmov d0, #1.9375	00f06f1e	
fmov s0, #1.9375	00f02f1e	
add v0.8b, v1.8b, v2.8b	2084220e	
add v0.16b, v1.16b, v2.16b	2084224e	
add v0.4h, v1.4h, v2.4h	2084620e	
add v0.8h, v1.8h, v2.8h	2084624e	
add v0.2s, v1.2s, v2.2s	2084a20e	
add v0.4s, v1.4s, v2.4s	2084a24e	
add v0.2d, v1.2d, v2.2d	2084e24e	
sub v0.8b, v1.8b, v2.8b	2084222e	
sub v0.16b, v1.16b, v2.16b	2084226e	
sub v0.4h, v1.4h, v2.4h	2084622e	
sub v0.8h, v1.8h, v2.8h	2084626e	
sub v0.2s, v1.2s, v2.2s	2084a22e	
sub v0.4s, v1.4s, v2.4s	2084a26e	
sub v0.2d, v1.2d, v2.2d	2084e26e	
mul v0.8b, v1.8b, v2.8b	209c220e	
mul v0.16b, v1.16b, v2.16b	209c224e	
mul v0.4h, v1.4h, v2.4h	209c620e	
mul v0.8h, v1.8h, v2.8h	209c624e	
mul v0.2s, v1.2s, v2.2s	209ca20e	
mul v0.4s, v1.4s, v2.4s	209ca24e	
mla v0.8b, v1.8b, v2.8b	2094220e	
mla v0.16b, v1.16b, v2.16b	2094224e	
mla v0.4h, v1.4h, v2.4h	2094620e	
mla v0.8h, v1.8h, v2.8h	2094624e	
mla v0.2s, v1.2s, v2.2s	2094a20e	
mla v0.4s, v1.4s, v2.4s	2094a24e	
mls v0.8b, v1.8b, v2.8b	2094222e	
mls v0.16b, v1.16b, v2.16b	2094226e	
mls v0.4h, v1.4h, v2.4h	2094622e	
mls v0.8h, v1.8h, v2.8h	2094626e	
mls v0.2s, v1.2s, v2.2s	2094a22e	
mls v0.4s, v1.4s, v2.4s	2094a26e	
smax v0.8b, v1.8b, v2.8b	2064220e	
smax v0.16b, v1.16b, v2.16b	2064224e	
smax v0.4h, v1.4h, v2.4h	2064620e	
smax v0.8h, v1.8h, v2.8h	2064624e	
smax v0.2s, v1.2s, v2.2s	2064a20e	
smax v0.4s, v1.4s, v2.4s	2064a24e	
smin v0.8b, v1.8b, v2.8b	206c220e	
smin v0.16b, v1.16b, v2.16b	206c224e	
smin v0.4h, v1.4h, v2.4h	206c620e	
smin v0.8h, v1.8h, v2.8h	206c624e	
smin v0.2s, v1.2s, v2.2s	206ca20e	
smin v0.4s, v1.4s, v2.4s	206ca24e	
umax v0.8b, v1.8b, v2.8b	2064222e	
umax v0.16b, v1.16b, v2.16b	2064226e	
umax v0.4h, v1.4h, v2.4h	2064622e	
